feature,parameter,S1,ST,S1_conf,ST_conf
total_area,width,0.7196783117857177,0.9274924805018568,0.1776146192165872,0.1567830432664086
total_area,temp,0.0174599928142865,0.0081544210836259,0.0182991416242584,0.00244893210678
total_area,contact,0.0360728914094084,0.0668418111218687,0.0302404114301565,0.0236607860460224
total_area,neighbor,-0.0014180532030152,0.005279102231424,0.0072502990905246,0.0015863417556904
total_area,contact_no,0.0239263169626577,0.0827983059106019,0.035506358286823,0.0311902679772742
total_area,lambda,0.052324005138261,0.1679069770874899,0.0502838049261177,0.080006408486869
total_area,cm_adhesion,0.0074318010319867,0.0154857679416672,0.00967529020883,0.0083705974957403
equivalent_diameter,width,0.7501802772594974,1.0154474066451586,0.1949107274558529,0.174031227878412
equivalent_diameter,temp,0.0171479002711545,0.0185005058586831,0.0159842170889465,0.0082250119048868
equivalent_diameter,contact,0.0260710913170679,0.0556752477217187,0.0235140604117662,0.0199291482106134
equivalent_diameter,neighbor,-0.0011923206337173,0.0086014049990183,0.0070274390561661,0.0036160419930278
equivalent_diameter,contact_no,0.0070250879170977,0.0524106139760631,0.0230784736580321,0.0231620399549448
equivalent_diameter,lambda,0.055164558265649,0.1454922728064369,0.0415995831621875,0.0874853669031012
equivalent_diameter,cm_adhesion,0.0147923528090419,0.0258375078941634,0.0146189659218878,0.0088478070762065
eccentricity,width,0.8224504979457142,0.95410009453998,0.2079005840155494,0.1080046114775
eccentricity,temp,0.0280334484894439,0.0373928479201089,0.018916485252664,0.009302884081721
eccentricity,contact,0.0240057756890571,0.0942674375389929,0.0312401034995668,0.0401914550687352
eccentricity,neighbor,0.0042784522584717,0.0076876417973476,0.0076299399928484,0.002520337830453
eccentricity,contact_no,0.0012312715727538,0.0293836861055527,0.0168740728388017,0.0098883959185988
eccentricity,lambda,0.0012779859195986,0.0630861452435867,0.0246764836425531,0.0282871731430834
eccentricity,cm_adhesion,-0.0043785866340231,0.0183662812316777,0.0127374888890849,0.0054239872634741
solidity,width,0.0433609585693531,0.0893974462119813,0.0489156894111546,0.0240057913661585
solidity,temp,-0.0030364310169344,0.0052273059726553,0.0065792870358338,0.0020319553264643
solidity,contact,0.0807978421625385,0.158392503014662,0.0365511365663656,0.0389391048954104
solidity,neighbor,-0.0009774887552374,0.0010277883535947,0.0031343765230388,0.000265215006906
solidity,contact_no,0.0022818950970382,0.0096193215475878,0.0133840287162184,0.0030117358521983
solidity,lambda,0.0085315416222094,0.0072332985497386,0.0131478053691227,0.0025550824809765
solidity,cm_adhesion,0.779837212990785,0.9533135142811772,0.1500227240649086,0.1314005474354655
perimeter,width,0.0537855117909219,0.1058520079972079,0.0434902169822622,0.0260630130532702
perimeter,temp,-0.0008193192636337,0.0032230806304012,0.0086473840168041,0.0009691666690621
perimeter,contact,0.0547213227742971,0.1612659249772079,0.0418586067228221,0.0417516986918182
perimeter,neighbor,0.0045374369170534,0.0022657032836835,0.0045794544531501,0.0006410311946684
perimeter,contact_no,0.0037077699707188,0.0113718527558958,0.011872045404403,0.0038825432073516
perimeter,lambda,-0.0025139346169499,0.0082663640708994,0.0107495482133707,0.0023682071923433
perimeter,cm_adhesion,0.725743182326217,0.94659491650745,0.1254739496387261,0.1290678849325623
circularity,width,-0.0006032278169525,0.0019349519207576,0.0052833182548121,0.0003521395813605
circularity,temp,0.022974742115504,0.0351051339420962,0.0255579288971187,0.0071147735806305
circularity,contact,0.1221677053005258,0.1802803621077631,0.0457696906132941,0.0340275131213621
circularity,neighbor,-0.0005138115032901,0.0007210985235982,0.003254391284684,0.0001396852349858
circularity,contact_no,0.0183960253266921,0.0429293859645896,0.0249889654939864,0.0088684977639075
circularity,lambda,-0.0012066546713257,0.0028804535435481,0.0062374842264394,0.0006054892443327
circularity,cm_adhesion,0.7614686343302605,0.8137264509625941,0.1003969316173551,0.0842362934356999
