cell_id,x,y
S001,40,22
S001,35,23
S001,36,23
S001,37,23
S001,38,23
S001,39,23
S001,40,23
S001,41,23
S001,42,23
S001,43,23
S001,44,23
S001,45,23
S001,32,24
S001,33,24
S001,34,24
S001,35,24
S001,36,24
S001,37,24
S001,38,24
S001,39,24
S001,40,24
S001,41,24
S001,42,24
S001,43,24
S001,44,24
S001,45,24
S001,46,24
S001,47,24
S001,48,24
S001,31,25
S001,32,25
S001,33,25
S001,34,25
S001,35,25
S001,36,25
S001,37,25
S001,38,25
S001,39,25
S001,40,25
S001,41,25
S001,42,25
S001,43,25
S001,44,25
S001,45,25
S001,46,25
S001,47,25
S001,48,25
S001,49,25
S001,29,26
S001,30,26
S001,31,26
S001,32,26
S001,33,26
S001,34,26
S001,35,26
S001,36,26
S001,37,26
S001,38,26
S001,39,26
S001,40,26
S001,41,26
S001,42,26
S001,43,26
S001,44,26
S001,45,26
S001,46,26
S001,47,26
S001,48,26
S001,49,26
S001,50,26
S001,51,26
S001,28,27
S001,29,27
S001,30,27
S001,31,27
S001,32,27
S001,33,27
S001,34,27
S001,35,27
S001,36,27
S001,37,27
S001,38,27
S001,39,27
S001,40,27
S001,41,27
S001,42,27
S001,43,27
S001,44,27
S001,45,27
S001,46,27
S001,47,27
S001,48,27
S001,49,27
S001,50,27
S001,51,27
S001,52,27
S001,27,28
S001,28,28
S001,29,28
S001,30,28
S001,31,28
S001,32,28
S001,33,28
S001,34,28
S001,35,28
S001,36,28
S001,37,28
S001,38,28
S001,39,28
S001,40,28
S001,41,28
S001,42,28
S001,43,28
S001,44,28
S001,45,28
S001,46,28
S001,47,28
S001,48,28
S001,49,28
S001,50,28
S001,51,28
S001,52,28
S001,53,28
S001,26,29
S001,27,29
S001,28,29
S001,29,29
S001,30,29
S001,31,29
S001,32,29
S001,33,29
S001,34,29
S001,35,29
S001,36,29
S001,37,29
S001,38,29
S001,39,29
S001,40,29
S001,41,29
S001,42,29
S001,43,29
S001,44,29
S001,45,29
S001,46,29
S001,47,29
S001,48,29
S001,49,29
S001,50,29
S001,51,29
S001,52,29
S001,53,29
S001,54,29
S001,26,30
S001,27,30
S001,28,30
S001,29,30
S001,30,30
S001,31,30
S001,32,30
S001,33,30
S001,34,30
S001,35,30
S001,36,30
S001,37,30
S001,38,30
S001,39,30
S001,40,30
S001,41,30
S001,42,30
S001,43,30
S001,44,30
S001,45,30
S001,46,30
S001,47,30
S001,48,30
S001,49,30
S001,50,30
S001,51,30
S001,52,30
S001,53,30
S001,54,30
S001,25,31
S001,26,31
S001,27,31
S001,28,31
S001,29,31
S001,30,31
S001,31,31
S001,32,31
S001,33,31
S001,34,31
S001,35,31
S001,36,31
S001,37,31
S001,38,31
S001,39,31
S001,40,31
S001,41,31
S001,42,31
S001,43,31
S001,44,31
S001,45,31
S001,46,31
S001,47,31
S001,48,31
S001,49,31
S001,50,31
S001,51,31
S001,52,31
S001,53,31
S001,54,31
S001,55,31
S001,24,32
S001,25,32
S001,26,32
S001,27,32
S001,28,32
S001,29,32
S001,30,32
S001,31,32
S001,32,32
S001,33,32
S001,34,32
S001,35,32
S001,36,32
S001,37,32
S001,38,32
S001,39,32
S001,40,32
S001,41,32
S001,42,32
S001,43,32
S001,44,32
S001,45,32
S001,46,32
S001,47,32
S001,48,32
S001,49,32
S001,50,32
S001,51,32
S001,52,32
S001,53,32
S001,54,32
S001,55,32
S001,56,32
S001,24,33
S001,25,33
S001,26,33
S001,27,33
S001,28,33
S001,29,33
S001,30,33
S001,31,33
S001,32,33
S001,33,33
S001,34,33
S001,35,33
S001,36,33
S001,37,33
S001,38,33
S001,39,33
S001,40,33
S001,41,33
S001,42,33
S001,43,33
S001,44,33
S001,45,33
S001,46,33
S001,47,33
S001,48,33
S001,49,33
S001,50,33
S001,51,33
S001,52,33
S001,53,33
S001,54,33
S001,55,33
S001,56,33
S001,24,34
S001,25,34
S001,26,34
S001,27,34
S001,28,34
S001,29,34
S001,30,34
S001,31,34
S001,32,34
S001,33,34
S001,34,34
S001,35,34
S001,36,34
S001,37,34
S001,38,34
S001,39,34
S001,40,34
S001,41,34
S001,42,34
S001,43,34
S001,44,34
S001,45,34
S001,46,34
S001,47,34
S001,48,34
S001,49,34
S001,50,34
S001,51,34
S001,52,34
S001,53,34
S001,54,34
S001,55,34
S001,56,34
S001,23,35
S001,24,35
S001,25,35
S001,26,35
S001,27,35
S001,28,35
S001,29,35
S001,30,35
S001,31,35
S001,32,35
S001,33,35
S001,34,35
S001,35,35
S001,36,35
S001,37,35
S001,38,35
S001,39,35
S001,40,35
S001,41,35
S001,42,35
S001,43,35
S001,44,35
S001,45,35
S001,46,35
S001,47,35
S001,48,35
S001,49,35
S001,50,35
S001,51,35
S001,52,35
S001,53,35
S001,54,35
S001,55,35
S001,56,35
S001,57,35
S001,23,36
S001,24,36
S001,25,36
S001,26,36
S001,27,36
S001,28,36
S001,29,36
S001,30,36
S001,31,36
S001,32,36
S001,33,36
S001,34,36
S001,35,36
S001,36,36
S001,37,36
S001,38,36
S001,39,36
S001,40,36
S001,41,36
S001,42,36
S001,43,36
S001,44,36
S001,45,36
S001,46,36
S001,47,36
S001,48,36
S001,49,36
S001,50,36
S001,51,36
S001,52,36
S001,53,36
S001,54,36
S001,55,36
S001,56,36
S001,57,36
S001,23,37
S001,24,37
S001,25,37
S001,26,37
S001,27,37
S001,28,37
S001,29,37
S001,30,37
S001,31,37
S001,32,37
S001,33,37
S001,34,37
S001,35,37
S001,36,37
S001,37,37
S001,38,37
S001,39,37
S001,40,37
S001,41,37
S001,42,37
S001,43,37
S001,44,37
S001,45,37
S001,46,37
S001,47,37
S001,48,37
S001,49,37
S001,50,37
S001,51,37
S001,52,37
S001,53,37
S001,54,37
S001,55,37
S001,56,37
S001,57,37
S001,23,38
S001,24,38
S001,25,38
S001,26,38
S001,27,38
S001,28,38
S001,29,38
S001,30,38
S001,31,38
S001,32,38
S001,33,38
S001,34,38
S001,35,38
S001,36,38
S001,37,38
S001,38,38
S001,39,38
S001,40,38
S001,41,38
S001,42,38
S001,43,38
S001,44,38
S001,45,38
S001,46,38
S001,47,38
S001,48,38
S001,49,38
S001,50,38
S001,51,38
S001,52,38
S001,53,38
S001,54,38
S001,55,38
S001,56,38
S001,57,38
S001,23,39
S001,24,39
S001,25,39
S001,26,39
S001,27,39
S001,28,39
S001,29,39
S001,30,39
S001,31,39
S001,32,39
S001,33,39
S001,34,39
S001,35,39
S001,36,39
S001,37,39
S001,38,39
S001,39,39
S001,40,39
S001,41,39
S001,42,39
S001,43,39
S001,44,39
S001,45,39
S001,46,39
S001,47,39
S001,48,39
S001,49,39
S001,50,39
S001,51,39
S001,52,39
S001,53,39
S001,54,39
S001,55,39
S001,56,39
S001,57,39
S001,22,40
S001,23,40
S001,24,40
S001,25,40
S001,26,40
S001,27,40
S001,28,40
S001,29,40
S001,30,40
S001,31,40
S001,32,40
S001,33,40
S001,34,40
S001,35,40
S001,36,40
S001,37,40
S001,38,40
S001,39,40
S001,40,40
S001,41,40
S001,42,40
S001,43,40
S001,44,40
S001,45,40
S001,46,40
S001,47,40
S001,48,40
S001,49,40
S001,50,40
S001,51,40
S001,52,40
S001,53,40
S001,54,40
S001,55,40
S001,56,40
S001,57,40
S001,58,40
S001,23,41
S001,24,41
S001,25,41
S001,26,41
S001,27,41
S001,28,41
S001,29,41
S001,30,41
S001,31,41
S001,32,41
S001,33,41
S001,34,41
S001,35,41
S001,36,41
S001,37,41
S001,38,41
S001,39,41
S001,40,41
S001,41,41
S001,42,41
S001,43,41
S001,44,41
S001,45,41
S001,46,41
S001,47,41
S001,48,41
S001,49,41
S001,50,41
S001,51,41
S001,52,41
S001,53,41
S001,54,41
S001,55,41
S001,56,41
S001,57,41
S001,23,42
S001,24,42
S001,25,42
S001,26,42
S001,27,42
S001,28,42
S001,29,42
S001,30,42
S001,31,42
S001,32,42
S001,33,42
S001,34,42
S001,35,42
S001,36,42
S001,37,42
S001,38,42
S001,39,42
S001,40,42
S001,41,42
S001,42,42
S001,43,42
S001,44,42
S001,45,42
S001,46,42
S001,47,42
S001,48,42
S001,49,42
S001,50,42
S001,51,42
S001,52,42
S001,53,42
S001,54,42
S001,55,42
S001,56,42
S001,57,42
S001,23,43
S001,24,43
S001,25,43
S001,26,43
S001,27,43
S001,28,43
S001,29,43
S001,30,43
S001,31,43
S001,32,43
S001,33,43
S001,34,43
S001,35,43
S001,36,43
S001,37,43
S001,38,43
S001,39,43
S001,40,43
S001,41,43
S001,42,43
S001,43,43
S001,44,43
S001,45,43
S001,46,43
S001,47,43
S001,48,43
S001,49,43
S001,50,43
S001,51,43
S001,52,43
S001,53,43
S001,54,43
S001,55,43
S001,56,43
S001,57,43
S001,23,44
S001,24,44
S001,25,44
S001,26,44
S001,27,44
S001,28,44
S001,29,44
S001,30,44
S001,31,44
S001,32,44
S001,33,44
S001,34,44
S001,35,44
S001,36,44
S001,37,44
S001,38,44
S001,39,44
S001,40,44
S001,41,44
S001,42,44
S001,43,44
S001,44,44
S001,45,44
S001,46,44
S001,47,44
S001,48,44
S001,49,44
S001,50,44
S001,51,44
S001,52,44
S001,53,44
S001,54,44
S001,55,44
S001,56,44
S001,57,44
S001,23,45
S001,24,45
S001,25,45
S001,26,45
S001,27,45
S001,28,45
S001,29,45
S001,30,45
S001,31,45
S001,32,45
S001,33,45
S001,34,45
S001,35,45
S001,36,45
S001,37,45
S001,38,45
S001,39,45
S001,40,45
S001,41,45
S001,42,45
S001,43,45
S001,44,45
S001,45,45
S001,46,45
S001,47,45
S001,48,45
S001,49,45
S001,50,45
S001,51,45
S001,52,45
S001,53,45
S001,54,45
S001,55,45
S001,56,45
S001,57,45
S001,24,46
S001,25,46
S001,26,46
S001,27,46
S001,28,46
S001,29,46
S001,30,46
S001,31,46
S001,32,46
S001,33,46
S001,34,46
S001,35,46
S001,36,46
S001,37,46
S001,38,46
S001,39,46
S001,40,46
S001,41,46
S001,42,46
S001,43,46
S001,44,46
S001,45,46
S001,46,46
S001,47,46
S001,48,46
S001,49,46
S001,50,46
S001,51,46
S001,52,46
S001,53,46
S001,54,46
S001,55,46
S001,56,46
S001,24,47
S001,25,47
S001,26,47
S001,27,47
